Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
2957;74340077;COBADEFFXXX;Commerzbank;Landshut;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
2958;74350000;BYLADEM1LAH;Sparkasse Landshut;Landshut;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
2959;74351430;BYLADEM1EGF;Sparkasse Rottal-Inn;Rottal-Inn;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
2960;74361211;GENODEF1ARF;Raiffeisenbank Arnstorf;Arnstorf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2961;74362663;GENODEF1ERG;Raiffeisenbank Landshuter Land eG;Ergolding;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2962;74369088;GENODEF1GPF;Raiffeisenbank Geiselhöring-Pfaffenberg;Geiselhöring;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2963;74369130;GENODEF1PST;Raiffeisenbank;Parkstetten;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2964;74369146;GENODEF1RZK;Raiffeisenbank Rattiszell-Konzell;Rattiszell;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2965;74369662;GENODEF1EBV;Raiffeisenbank Buch-Eching;Eching, Niederbay;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2966;74390000;GENODEF1LH1;VR-Bank Landshut;Landshut, Isar;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2967;74392300;GENODEF1VBV;VR-Bank Vilsbiburg eG;Vilsbiburg;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2968;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Regensburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2969;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Abensberg, Hallertau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2970;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Neustadt a.d.Donau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2971;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Kelheim;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2972;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Neutraubling;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2973;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Parsberg, Oberpf;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2974;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Hemau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2975;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Regenstauf;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2976;75020073;HYVEDEMM447;UniCredit Bank - HypoVereinsbank AG;Beratzhausen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2977;75021174;HYVEDEMM804;UniCredit Bank - HypoVereinsbank AG;Schwandorf, Bay;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2978;75040062;COBADEFFXXX;Commerzbank;Regensburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
2979;75050000;BYLADEM1RBG;Sparkasse Regensburg;Regensburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
2980;75051040;BYLADEM1SAD;Sparkasse im Landkreis Schwandorf;Schwandorf;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
2981;75051565;BYLADEM1KEH;Kreissparkasse Kelheim;Kelheim;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by3.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
2982;75060150;GENODEF1R02;Raiffeisenbank Regensburg-Wenzenbach;Regensburg;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2983;75061851;GENODEF1REF;Raiffeisenbank;Regenstauf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2984;75062026;GENODEF1DST;Raiffeisenbank Oberpfalz Süd;Donaustauf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2985;75069014;GENODEF1ABS;Raiffeisen-Bank Bad Abbach-Saal eG;Bad Abbach;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2986;75069038;GENODEF1FKS;Raiffeisenbank Falkenstein-Wörth;Falkenstein, Oberpf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2987;75069055;GENODEF1HGA;Raiffeisenbank Alteglofsheim-Hagelstadt;Hagelstadt;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2988;75069061;GENODEF1HEM;Raiffeisenbank Hemau-Kallmünz;Hemau;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2989;75069076;#NV;Raiffeisenbank Kallmünz -alt-;Kallmünz;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2990;75069078;GENODEF1SZV;Raiffeisenbank;Sinzing, Oberpf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2991;75069081;GENODEF1KTZ;Raiffeisenbank Bad Kötzting;Bad Kötzting;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2992;75069110;GENODEF1NKN;Raiffeisenbank Eschlkam-Lam-Lohberg-Neukirchen b Hl Blut;Neukirchen b.Hl.Blut;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2993;75069171;GENODEF1SWD;Raiffeisenbank im Naabtal;Nabburg;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2994;75070013;DEUTDEMM750;Deutsche Bank;Regensburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
2995;75070013;DEUTDEMM750;Deutsche Bank;Straubing;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
2996;75070013;DEUTDEMM750;Deutsche Bank;Deggendorf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
2997;75070013;DEUTDEMM750;Deutsche Bank;Passau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
2998;75070024;DEUTDEDB750;Deutsche Bank Privat und Geschäftskunden;Regensburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
2999;75070024;DEUTDEDB750;Deutsche Bank Privat und Geschäftskunden;Deggendorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3000;75070024;DEUTDEDB750;Deutsche Bank Privat und Geschäftskunden;Passau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3001;75070024;DEUTDEDB750;Deutsche Bank Privat und Geschäftskunden;Straubing;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3002;75090000;GENODEF1R01;Volksbank Raiffeisenbank Regensburg-Schwandorf eG;Regensburg;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3003;75090300;GENODEF1M05;LIGA Bank;Regensburg;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3004;75090500;GENODEF1S05;Sparda-Bank Regensburg eG;Regensburg ;Sparda-Datenverarbeitung eG;BVR;;;;;;;;;;;;;;;;;;https://fints.bankingonline.de/fints/FinTs30PinTanHttpGate;FinTS V3.0;26.09.2013
3005;75090900;GENODEF1P18;VR Bank Niederbayern-Oberpfalz;Regensburg;Atruvia AG;BVR;;;;;;;;;;;;;;;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3006;75091400;GENODEF1BLF;VR Bank Burglengenfeld;Burglengenfeld;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3007;75220070;HYVEDEMM405;UniCredit Bank - HypoVereinsbank AG;Amberg, Oberpf;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3008;75220070;HYVEDEMM405;UniCredit Bank - HypoVereinsbank AG;Sulzbach-Rosenberg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3009;75240000;COBADEFFXXX;Commerzbank;Amberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
3010;75250000;BYLADEM1ABG;Sparkasse Amberg-Sulzbach;Amberg-Sulzbach;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
3011;75290000;GENODEF1AMV;VR Bank Amberg-Sulzbach eG;Amberg, Oberpf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3012;75320075;HYVEDEMM454;UniCredit Bank - HypoVereinsbank AG;Weiden i.d.OPf.;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3013;75320075;HYVEDEMM454;UniCredit Bank - HypoVereinsbank AG;Tirschenreuth;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3014;75320075;HYVEDEMM454;UniCredit Bank - HypoVereinsbank AG;Wunsiedel;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3015;75320075;HYVEDEMM454;UniCredit Bank - HypoVereinsbank AG;Vohenstrauß;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3016;75340090;COBADEFFXXX;Commerzbank;Weiden;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
3017;75350000;BYLADEM1WEN;Sparkasse Oberpfalz-Nord;Weiden;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
3018;75351960;BYLADEM1ESB;Vereinigte Sparkasse Eschenbach, Neustadt, Vohenstrauß;Eschenbach;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
3019;75362039;GENODEF1FLS;Raiffeisenbank;Floß;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3020;75390000;GENODEF1WEV;Volksbank Nordoberpfalz eG;Weiden i.d.OPf.;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3021;76010085;PBNKDEFFXXX;Postbank;Nürnberg, Mittelfr;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015
3022;76020070;HYVEDEMM460;UniCredit Bank - HypoVereinsbank AG;Nürnberg, Mittelfr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3023;76020070;HYVEDEMM460;UniCredit Bank - HypoVereinsbank AG;Lauf a.d.Pegnitz;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3024;76020070;HYVEDEMM460;UniCredit Bank - HypoVereinsbank AG;Röthenbach a.d.Pegnitz;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3025;76020070;HYVEDEMM460;UniCredit Bank - HypoVereinsbank AG;Neumarkt i.d.OPf.;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3026;76020070;HYVEDEMM460;UniCredit Bank - HypoVereinsbank AG;Feucht;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3027;76020070;HYVEDEMM460;UniCredit Bank - HypoVereinsbank AG;Hersbruck;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3028;76020070;HYVEDEMM460;UniCredit Bank - HypoVereinsbank AG;Schwaig b. Nürnberg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3029;76020070;HYVEDEMM460;UniCredit Bank - HypoVereinsbank AG;Altdorf b. Nürnberg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3030;76020099;HYVEDEMMCAR;UniCredit Bank - HypoVereinsbank AG;Nürnberg, Mittelfr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
3031;76026000;NORSDE71XXX;norisbank GmbH;Berlin;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://fints.norisbank.de/;FinTS V3.0;10.06.2013
3032;76030080;CSDBDE71XXX;Bnp Paribas S.A. Niederlassung Deutschland - Consorsbank;Nürnberg;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://brokerage-hbci.consorsbank.de/hbci;FinTS V3.0;28.06.2017
3033;76030600;ISBKDEFXNUR;Isbank AG;Frankfurt am Main;Bank-Verlag;BdB;;;3.0;;;;;;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;01.10.2018
3034;76035000;UMWEDE7NXXX;UmweltBank AG;Nürnberg;Atruvia AG;;fints2.atruvia.de;;3.0;;;;;;;;;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;09.10.2023
3035;76040061;COBADEFFXXX;Commerzbank;Nürnberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
3036;76040061;COBADEFFXXX;Commerzbank;Schwabach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
3037;76040061;COBADEFFXXX;Commerzbank;Lauf ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
3038;76050101;SSKNDE77XXX;Sparkasse Nürnberg;Nürnberg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
3039;76052080;BYLADEM1NMA;Sparkasse Neumarkt i.d.OPf.-Parsberg;Neumarkt-Parsberg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
3040;76061025;GENODEF1LAU;Raiffeisen Spar+Kreditbank Lauf a d Pegnitz;Lauf a.d.Pegnitz;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3041;76061482;GENODEF1HSB;RB im Nürnberger Land eG;Hersbruck;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3042;76069369;GENODEF1AUO;Raiffeisenbank Auerbach-Freihung;Auerbach i.d.OPf.;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3043;76069372;GENODEF1WDS;Raiffeisenbank Bad Windsheim;Bad Windsheim;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3044;76069378;GENODEF1BEH;Raiffeisenbank;Bechhofen a d Heide;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3045;76069404;GENODEF1DSB;Raiffeisenbank Uehlfeld-Dachsbach;Dachsbach;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3046;76069410;GENODEF1DIM;Raiffeisenbank Dietersheim und Umgebung;Dietersheim, Mittelfr;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3047;76069448;GENODEF1FRD;Raiffeisenbank -alt-;Freudenberg, Oberpf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3048;76069449;GENODEF1FYS;Raiffeisenbank Berching-Freystadt-Mühlhausen eG;Berching;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3049;76069462;GENODEF1GDG;Raiffeisenbank Altmühl-Jura eG;Greding;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3050;76069486;GENODEF1HSC;Raiffeisenbank Hirschau;Hirschau, Oberpf;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3051;76069553;GENODEF1NM1;Raiffeisenbank Neumarkt;Neumarkt i.d.OPf.;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3052;76069559;GENODEF1NEA;VR meine Bank eG;Neustadt a.d.Aisch;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3053;76069564;GENODEF1BTO;Raiffeisenbank Oberferrieden-Burgthann;Burgthann;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3054;76069576;GENODEF1BPL;Raiffeisenbank Plankstetten;Berching;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3055;76069602;GENODEF1HSE;Raiffeisenbank DreiFranken eG;Heßdorf, Mittelfr;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3056;76069611;GENODEF1SDM;Raiffeisenbank Unteres Vilstal;Schmidmühlen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3057;76069669;GENODEF1ZIR;Raiffeisenbank Knoblauchsland-Bibertgrund eG;Zirndorf, Mittelfr;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3058;76070012;DEUTDEMM760;Deutsche Bank;Nürnberg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3059;76070012;DEUTDEMM760;Deutsche Bank;Bayreuth;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
